Ticker,Sector,LastClose,PreviousClose,Volume,LastPrice,ChangePct,LastUpdated,PriceSource,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,RSI_14,ATR_14,ATRPct_14,MACD_Hist,Z_20,Return_20,Return_60,ADV_20,Hi_252,Lo_252,PctFromHi_252,PctToLo_252
HT1,Nguyên vật liệu,17.0,17.65,384500.0,17.0,-3.682719546742197,2025-10-28 10:21:00,intraday,17.7975,17.56886,13.57374,17.84180541479708,17.196223228975516,44.77833663123765,0.8732562340185674,5.136801376579808,-0.09745732610676702,-1.0691070973918182,0.591715976331364,22.974537037037045,868780.0,21.0,9.12,-19.047619047619047,86.40350877192984
IDC,Bất động sản,36.3,36.1,266100.0,36.3,0.5540166204986097,2025-10-28 10:17:00,intraday,37.025000000000006,40.422,40.455385,37.03969455988563,38.85391097736081,43.160682099672705,1.4317345184751122,3.9441722272041666,0.049556822621038776,-0.4560527034328309,-5.714285714285716,-6.448121230864389,2417358.2,49.659,26.883,-26.901468011840755,35.02957259234461
IMP,Y tế,48.95,48.95,900.0,48.95,0.0,2025-10-28 10:12:00,intraday,50.8175,52.523,49.238285000000005,50.53580034706199,51.65770288888993,32.587915304016846,1.1294147389228,2.3072824084224717,-0.1477018140884272,-1.246438608070743,-7.466918714555759,-7.1157495256167,32500.0,56.5,35.753,-13.362831858407077,36.911587838782765
KBC,Bất động sản,34.35,34.45,1451700.0,34.35,-0.2902757619738794,2025-10-28 10:21:00,intraday,34.985,36.983999999999995,30.05125,34.998997671248055,35.10736778015599,45.31400379722834,1.4728539460376855,4.287784413501267,-0.08329337986938379,-0.580112106790766,-4.8476454293628795,9.04761904761906,7060530.0,43.1,20.05,-20.301624129930396,71.3216957605985
KDC,Hàng tiêu dùng thiết yếu,51.6,51.8,29400.0,51.6,-0.3861003861003742,2025-10-28 10:21:00,intraday,52.125,52.806,55.4055,52.046925841949985,52.76441343387548,43.66419669137806,0.9810792476191523,1.9013163713549461,0.023393483619982558,-1.2132872939358936,-0.19342359767892114,-5.8394160583941535,259840.0,60.0,48.85,-14.000000000000002,5.629477993858756
KDH,Bất động sản,32.2,32.5,1771400.0,32.25,-0.7692307692307665,2025-10-28 10:21:00,intraday,32.760000000000005,34.084,29.826,32.95676494331223,32.878237582027076,45.10796449612815,1.3739875353695865,4.267042035309275,0.009006782518205969,-0.6658823585096448,-4.733727810650867,16.24548736462095,7679600.0,38.1,22.046,-15.48556430446194,46.05824185793344
KOS,Bất động sản,38.65,38.6,151500.0,38.65,0.12953367875647714,2025-10-28 09:52:00,intraday,38.730000000000004,39.028999999999996,38.86575,38.75777785134816,38.905944308529094,45.21438398654325,0.3089713156087763,0.7994083198157214,5.102578962429272e-05,-0.30157899099334085,-1.40306122448981,-1.1508951406649648,359135.0,42.15,36.85,-8.303677342823246,4.884667571234735
LPB,Tài chính,53.0,51.9,711100.0,53.0,2.1194605009633882,2025-10-28 10:21:00,intraday,51.275,47.68200000000001,36.3509,50.480304097310395,47.233119936856674,63.65209889562121,2.013022677371844,3.798155995041215,-0.10921055917352529,1.2764882093353649,7.070707070707072,53.623188405797094,3206695.0,54.7,24.684,-3.1078610603290757,114.71398476746072
MBB,Tài chính,23.5,23.8,12474400.0,23.5,-1.260504201680679,2025-10-28 10:22:00,intraday,26.222500000000004,26.727999999999998,20.594715,25.745540412578443,25.6323006202718,26.318990882556236,0.7332317547907652,3.1201351267692132,-0.39492352214112986,-2.163478279542195,-10.305343511450381,15.314784827518512,37157255.0,29.5,14.599,-20.33898305084746,60.96992944722241
MSB,Tài chính,12.0,12.1,2289200.0,12.0,-0.8264462809917328,2025-10-28 10:22:00,intraday,12.982499999999998,13.54414,10.883925000000001,12.81149777175054,12.94444935292757,30.740860371170427,0.3629281998547501,3.024401665456251,-0.11768822235282408,-1.695986669397003,-8.745247148288971,6.666666666666665,9830115.0,15.624,7.916,-23.19508448540707,51.59171298635674
